ID	logFC	logCPM	F	PValue	names	symbol	entrezid	FDR
MSTRG.22419	-5.81839562556177	-2.70224619437084	36.7074049144188	3.020364463317E-08	MSTRG.22419			0.00062246691224509
MSTRG.37875	-2.52774215990642	1.65392633483504	29.730079243914	3.9370460091135E-07	MSTRG.37875			0.00354329017179188
MSTRG.37830	-2.91067605832476	1.73229139156546	29.066145539069	5.1578778763529E-07	MSTRG.37830			0.00354329017179188
MSTRG.23921	-3.84680163648826	-0.357772861666035	28.0608703028537	7.5795747479372E-07	MSTRG.23921			0.00390518639950593
MSTRG.37883	-4.80358399724546	-0.15451940046312	27.3666204922743	1.00960841807317E-06	MSTRG.37883			0.00416140397761398
MSTRG.23920	-2.48123145406309	0.185752745167638	26.6879453421453	1.30845748488697E-06	MSTRG.23920			0.00449433338433928
MSTRG.37856	-4.46024673356436	0.238370178821765	26.0036895727229	1.75531829104001E-06	MSTRG.37856			0.00473980647297027
MSTRG.23926	-5.1497246413694	-0.843761491190455	25.8291602233681	1.86149488501678E-06	MSTRG.23926			0.00473980647297027
MSTRG.23970	-4.4224466266607	0.197025939887463	25.5072395948301	2.14768026925692E-06	MSTRG.23970			0.00473980647297027
MSTRG.23931	-4.41784948240406	0.193358675665702	25.3394705397889	2.29987213012289E-06	MSTRG.23931			0.00473980647297027
MSTRG.23980	-4.22447245935646	-0.812848715520335	24.6364392131379	3.03024720991757E-06	MSTRG.23980			0.0053584641580173
MSTRG.37888	-4.35638678264291	0.985059149140143	24.61424636349	3.12007229347409E-06	MSTRG.37888			0.0053584641580173
MSTRG.9274	-4.65779497903697	-2.5447899987618	24.4768284409364	3.9186663728503E-06	MSTRG.9274			0.00554040479464313
MSTRG.23910	-2.48895941275287	1.00836323871876	23.9710017666574	4.00724934136214E-06	MSTRG.23910			0.00554040479464313
MSTRG.23958	-1.89292668416427	1.58032034571251	23.7320598227659	4.40789416887942E-06	MSTRG.23958			0.00554040479464313
MSTRG.37855	-3.96644341142722	-2.12055015148365	23.6682052296273	4.51318887498484E-06	MSTRG.37855			0.00554040479464313
MSTRG.33881	-5.28754357848066	-2.58289748178337	23.7538849193273	4.58751172700519E-06	MSTRG.33881			0.00554040479464313
MSTRG.37940	-6.81781830782764	-1.64411795596003	23.7604273158947	4.83901626976448E-06	MSTRG.37940			0.00554040479464313
MSTRG.16535|ENSG00000262902	2.53052110445004	0.878479911576938	23.3505407803569	5.16120570780552E-06	ENSG00000262902	MTCO1P40		0.00559827833853495
MSTRG.12132	-5.69182945686607	-2.51203211686341	22.9773101963068	7.64378900537367E-06	MSTRG.12132			0.0078765423805873
MSTRG.37876	-3.55687554642057	-1.5466580026306	22.016905898562	9.02249474981831E-06	MSTRG.37876			0.00885450449042884
MSTRG.37884	-3.81779208035448	-1.71933709712494	21.7233238377121	1.02174088318067E-05	MSTRG.37884			0.00957138993703199
MSTRG.37886	-4.61667417985823	-2.17075590622847	21.7170133340916	1.07141644646468E-05	MSTRG.37886			0.00960035719356111
MSTRG.35095	-5.11297055362967	-2.2932495660534	19.944101734055	2.37324522662464E-05	MSTRG.35095			0.0203792545314613
MSTRG.38054	-4.6474584120943	-2.312945572307	19.7121661977411	2.51406520798638E-05	MSTRG.38054			0.0207249479485565
MSTRG.23978	-2.29735073378717	-1.58869022105536	19.5030952588647	2.64981416318514E-05	MSTRG.23978			0.0210038538804164
MSTRG.19072	-4.77567599018767	-2.67832754975907	19.6495054660955	2.91541385313894E-05	MSTRG.19072			0.0222532459627186
MSTRG.23979	-1.59507427635456	-1.4336919081233	19.1593639946003	3.07729820932765E-05	MSTRG.23979			0.0225531283841348
